NAME,YEAR,THEME,Number of unique parts,Number of parts,UNIQUENESS
"LEGO Store Grand Opening Exclusive Set, Yorkdale Mall, Toronto, ON, Canada",2013,LEGO Brand Store,0,13,0.000000
"Advent Calendar 2014, Friends (Day 11) - Stove",2014,Friends,0,8,0.000000
Supernova,2006,Exo-Force,0,92,0.000000
Kabaya Promotional Set: Car,1999,Race,0,14,0.000000
Interplanetary Shuttle,1985,Classic Space,0,35,0.000000
Sport Coupe,1990,Traffic,0,24,0.000000
Ice Cream Cart,2016,Friends,0,17,0.000000
Gearbox Pack,2004,Supplemental,0,4,0.000000
Lunar Transporter Patroller,1988,Futuron,0,50,0.000000
Crab,1998,Stingrays,0,36,0.000000
Mom and Baby,2015,Duplo,0,10,0.000000
Basic Bricks - Large,2010,Supplemental,0,11,0.000000
Gold chrome plated C-3PO,2007,Gear,0,3,0.000000
"Lego Motion 4A, Wind Whirler - International version",1994,Basic Model,0,10,0.000000
Pneumatic Pump 2 Cylinder,1991,Technic,0,1,0.000000
Wheels for Motor (The Building Toy),1967,Supplemental,0,4,0.000000
Wave Jumper,1990,Harbor,0,19,0.000000
Advent Calendar 1998 Classic Basic (Day  3) Boat,1998,Classic Basic,0,7,0.000000
MINI Cooper Mini Model,2014,Creator,0,26,0.000000
King Leo's Castle,2000,Knights Kingdom I,0,161,0.000000
Cargo Ship,1976,Harbor,0,15,0.000000
Big Farm,2010,Duplo,0,39,0.000000
Police Station,2017,Police,0,254,0.000000
Ultimate Accessories,2000,RCX,0,18,0.000000
"Rechargeable Battery for Lego Mindstorms NXT, DC plug",2010,NXT,0,1,0.000000
Stephanie's Bakery Stand,2014,Friends,0,20,0.000000
Johnny Thunder,1999,Desert,0,13,0.000000
DNA Student Set,2008,Learning,0,11,0.000000
Advent Calendar 2003 Creator (Day 17) Bird,2003,Creator,0,7,0.000000
Advent Calendar 2009 City (Day  2) Snowman,2009,City,0,7,0.000000
Soccer Player with Goal,2003,Soccer,0,8,0.000000
Container Crane Depot,1986,12V,0,94,0.000000
Advent Calendar 2009 Pirates (Day 18) - Weapon Stand,2009,Pirates,0,7,0.000000
"Chain Links, Small",1977,Service Packs,0,1,0.000000
Transformer 10V DC,2016,Mindstorms,0,1,0.000000
Sarcophagus (LLCA Ambassador Pass Exclusive),2008,Legoland Parks,0,32,0.000000
Monthly Mini Model Build July 2010 - Watermelon,2010,Monthly Mini Model Build,0,10,0.000000
Starter Train Set with Motor,1966,4.5V,0,22,0.000000
Police Car,1973,Police,0,10,0.000000
Car with Plane Transporter,1975,Factory,0,19,0.000000
Hoogi,2014,Series 3,0,21,0.000000
Shell Car Wash,1999,Gas Station,0,59,0.000000
Aircraft,2000,Basic Model,0,8,0.000000
Ship,2001,Creator,0,8,0.000000
Micro Morro Dragon,2015,Ninjago,0,15,0.000000
Freestyle Playdesk,1998,Freestyle,0,98,0.000000
TTX Intermodal Double-Stack Car,2005,9V,0,47,0.000000
Magnifo,2014,Series 3,0,33,0.000000
Advent Calendar 2005 Clikits  (Day 2) Hair Band,2005,Clikits,0,5,0.000000
Booster Beast,2007,Power Racers,0,32,0.000000
Hans Christian Andersen Bucket,2005,Basic Set,0,67,0.000000
Advent Calendar 2007 City (Day 19) Sanitary Engineer and Broom,2007,City,0,5,0.000000
Hailfire Droid & Spider Droid,2008,Star Wars Episode 2,0,60,0.000000
TECHNIC Airscrew,1987,Technic,0,1,0.000000
Rahaga Kualus,2005,Rahaga,0,16,0.000000
Deep Sea Scuba Scooter,2015,Divers,0,29,0.000000
Shark,2006,Creator,0,14,0.000000
Make-believe Bucket,2002,Basic Set,0,20,0.000000
Mini Trains,2008,Creator,0,31,0.000000
Radon Rover,1997,UFO,0,30,0.000000
"Lego Motion 3A, Land Laser - International version",1994,Basic Model,0,10,0.000000
Vintage Minifigure Collection Vol. 4,2009,Collectible Minifigures,0,16,0.000000
Monthly Mini Model Build January 2015 - Alien and Space Dog,2015,Monthly Mini Model Build,0,17,0.000000
Advent Calendar 2004 Creator (Day 13) Santa Ornament,2004,Creator,0,8,0.000000
Arctic Truck,2015,Off-Road,0,113,0.000000
Tow Truck,2009,Creator,0,33,0.000000
Clone Turbo Tank,2014,Star Wars Episode 3,0,36,0.000000
"Advent Calendar 2012, City (Day 23) Wrapped Gifts",2012,Advent Sub-Set,0,5,0.000000
Kraw,2014,Series 2,0,24,0.000000
Freestyle Bricks and Plates,1995,Freestyle,0,34,0.000000
"LEGO Store Grand Opening Exclusive Set, Arrowhead Towne Center, Glendale AZ",2010,LEGO Brand Store,0,37,0.000000
LEGO Electrical Capacitor,1999,Technic,0,1,0.000000
The Jungle Tree House,2016,Minecraft,0,103,0.000000
Hot Dog Man,2017,Series 17 Minifigures,0,9,0.000000
Air Blazer,2016,Creator,0,50,0.000000
Knight's Showdown,2010,Kingdoms,0,32,0.000000
Jungle Trap,2015,Ninjago,0,36,0.000000
Geonosian Fighter Blue Box,2004,Star Wars Episode 2,0,49,0.000000
Knights Challenge,1988,Lion Knights,0,74,0.000000
Simple Machines Set,2009,WeDo,0,46,0.000000
Santa with Sleigh Building Set,2010,Christmas,0,29,0.000000
Clone Walker,2009,Star Wars Clone Wars,0,19,0.000000
LEGO® Friends Horse Bag Charm,2013,Key Chain,0,6,0.000000
Ships - 247 elements and 1 poster,1985,Boat,0,28,0.000000
VIP Top 5 Boxed Minifigures,2012,Collectible Minifigures,0,31,0.000000
Advent Calendar 2008 Castle (Day 12) - Container on Wheels,2008,Castle,0,5,0.000000
Minifig Pack,1986,Supplemental,0,21,0.000000
Knighton Battle Blaster,2016,Nexo Knights,0,50,0.000000
The Joker Battle Training,2017,Batman,0,27,0.000000
Cornerbricks (System),1966,Supplemental,0,1,0.000000
{Roadplates and Scenery},1986,Town,0,21,0.000000
Special Edition,2004,Basic Set,0,50,0.000000
Color Light,2001,Studios,0,8,0.000000
Saucer Scout,1994,Spyrius,0,21,0.000000
Pole Reversing Switch,2003,Service Packs,0,1,0.000000
Alien Jet,2008,Mars Mission,0,13,0.000000
Pink Brick Box,2008,Basic Set,0,40,0.000000
Street Rebel,2012,Creator,0,72,0.000000
Star Wars Magnet Set,2009,Gear,0,15,0.000000
2 x 4 Roof Tile Red,2000,Bulk Bricks,0,1,0.000000
Advent Calendar 2009 Pirates (Day  2) - Table with Lamp and Map,2009,Pirates,0,5,0.000000
Race Rider,2009,Riding Cycle,0,89,0.000000
Space Mini-Figs,1983,Supplemental,0,11,0.000000
Storage Cabinet,1985,Service Packs,0,3,0.000000
Firemen,1977,Building Set with People,0,41,0.000000
Star Destroyer and TIE Fighter foil pack,2015,Mini,0,11,0.000000
Truck with Excavator,1973,Construction,0,38,0.000000
Advent Calendar 2011 City (Day 17) Police Car Top Section,2011,City,0,6,0.000000
Magnets and Magnet Holders,1993,Service Packs,0,3,0.000000
Telephone Booth,1986,Traffic,0,19,0.000000
24 Hours Race Car,2015,Race,0,124,0.000000
Sloping Frames,1989,Service Packs,0,1,0.000000
Advent Calendar 2008 City (Day  6) Ice Cream Cart and Sundae,2008,City,0,11,0.000000
Robot Command Center,1984,Classic Space,0,85,0.000000
2 x 4 Ridge Roof Tiles Steep Sloped Red,2000,Bulk Bricks,0,1,0.000000
Hayabusa,2012,LEGO Ideas and CUUSOO,0,77,0.000000
Ice Cannon,2014,Legends of Chima,0,18,0.000000
Solar Power Transporter,1985,Classic Space,0,74,0.000000
Police Car,1984,Police,0,11,0.000000
Off Road Power,2007,Power Racers,0,68,0.000000
"Advent Calendar 2001, Creator (Day 17) Whale",2001,Advent Sub-Set,0,8,0.000000
Reindeer,2016,Christmas,0,23,0.000000
Freight Train,1985,12V,0,96,0.000000
Advent Calendar 2008 City (Day  5) Freezer Chest and Umbrella,2008,City,0,6,0.000000
2 x 2 Bricks,1955,Supplemental,0,1,0.000000
Pizza To Go,1994,Food & Drink,0,67,0.000000
Off-Roader,2011,Off-Road,0,45,0.000000
Party Cakes,2016,Friends,0,37,0.000000
Slyboot Car,1998,Desert,0,14,0.000000
LEGO Japan Snake,2005,Other,0,3,0.000000
Locomotive Piston Assemblies,1977,Train,0,3,0.000000
Parrot,2016,Creator,0,25,0.000000
Transformation Kit Dirt Crusher (Blue),2005,Supplemental,0,12,0.000000
Little House Set,1970,Minitalia,0,9,0.000000
Formula 1 Racing Car,1997,Race,0,16,0.000000
Police Bike,2011,Duplo,0,8,0.000000
12V Light Brick,1989,Service Packs,0,1,0.000000
Bungee Chopper,1998,Competition,0,31,0.000000
Heart Book,2011,Seasonal,0,15,0.000000
Friends Puppy Holiday Bauble,2013,Christmas,0,15,0.000000
Vanilla's Frosty Sleighride,2002,Fairy-Tale,0,24,0.000000
Shanghai Surprise,1999,Ninja,0,57,0.000000
Extreme Power Bike,2003,Drome Racers,0,33,0.000000
Bricktober Pizza Place,2014,Bricktober,0,28,0.000000
Basic Building Set,1968,Basic Set,0,36,0.000000
Summer Picnic,2013,Friends,0,14,0.000000
Nitro Intimidator,2006,Power Racers,0,111,0.000000
25th Anniversary Silver Bucket,1998,Basic Set,0,10,0.000000
Pirate Code,2009,Game,0,33,0.000000
London Bus,2016,Creator,0,31,0.000000
Sky Squad,2003,Designer Sets,0,51,0.000000
F1 Racer / Future F1,1998,Race,0,19,0.000000
TIE Fighter,2001,Star Wars Episode 4/5/6,0,59,0.000000
Straight Road Plates (with crosswalk),1978,Supplemental,0,1,0.000000
"LEGO Store Grand Opening Exclusive Set, The Galleria, Houston, TX",2010,LEGO Brand Store,0,26,0.000000
Main Street,1980,Traffic,0,100,0.000000
RCX Programmable Brick,1998,Technic,0,1,0.000000
Hydro,2016,Series 8,0,30,0.000000
Pirate's Treasure Hold,1992,Pirates I,0,25,0.000000
Women's Team,2001,Soccer,0,34,0.000000
"Advent Calendar 2012, Star Wars (Day 3) - Gungan Battle Depot",2012,Star Wars,0,7,0.000000
Adventurers Car,1998,Desert,0,24,0.000000
Fire Plane,2015,Fire,0,95,0.000000
M. Schumacher and R. Barrichello,2004,Ferrari,0,9,0.000000
Advent Calendar 2005 City (Day 23) Pizza Oven,2005,City,0,8,0.000000
Airplane,2007,Airport,0,18,0.000000
"1 x 1, 1 x 2, 1 x 4, 1 x 6, 1 x 8 Bricks",1966,Supplemental,0,5,0.000000
Jay's Storm Fighter,2012,Ninjago,0,90,0.000000
Slick Racer,1996,Race,0,23,0.000000
Town House,1964,Building,0,30,0.000000
X-1 Ninja Charger,2014,Ninjago,0,137,0.000000
Toggle Joints & Connectors,1994,Technic,0,10,0.000000
LEGO® DIMENSIONS™ Xbox One Starter Pack,2015,Dimensions,0,92,0.000000
Cypress Trees,1989,Service Packs,0,1,0.000000
Plates & Gear Racks,1996,Technic,0,9,0.000000
Racer,2016,Juniors,0,19,0.000000
2 x 2 Angle Plate (Pack of 25),2002,Service Packs,0,1,0.000000
12V Sleeper (Track) Contacts for Old Motor Type I and II,1969,12V,0,1,0.000000
Freestyle Box,1996,Freestyle,0,36,0.000000
Troll Battle Wheel,2008,Fantasy Era,0,85,0.000000
Desert Glider,2011,Pharaoh's Quest,0,23,0.000000
Orange Creative Box,2017,Classic,0,31,0.000000
Snowtrooper Battle Pack,2010,Star Wars Episode 4/5/6,0,52,0.000000
Motor Bushings,1969,12V,0,1,0.000000
Spirit of St. Louis,1977,Airport,0,20,0.000000
Matau,2001,Turaga,0,14,0.000000
River Response,1998,Res-Q,0,67,0.000000
Milk Delivery Truck - Tine,1999,Food & Drink,0,40,0.000000
Lord Vladek Mask,2005,Gear,0,1,0.000000
Whale July 2015,2015,Monthly Mini Model Build,0,27,0.000000
Tina's House,2001,Basic Set,0,22,0.000000
Racing Car,1997,Basic Model,0,9,0.000000
Advent Calendar 2002 Creator (Day 19) Parrot,2002,Creator,0,6,0.000000
Park Street Townhouse,2017,Creator,0,145,0.000000
AT-DP,2016,Star Wars Rebels,0,37,0.000000
Highway Patrol,1987,Police,0,17,0.000000
Easter Basket,2011,Easter,0,18,0.000000
Fire Boat,1999,Town,0,20,0.000000
Advent Calendar 2000 (Day  7) Giraffe,2000,Advent Sub-Set,0,6,0.000000
Freestyle Fish,1995,Freestyle,0,12,0.000000
Super Basic Set,1982,Basic Set,0,114,0.000000
Scout Patrol Ship,1992,Blacktron II,0,23,0.000000
Medium Bucket,1988,Basic,0,26,0.000000
Blue Train Doors with Panes,2000,Train,0,3,0.000000
"Bricks, Black",1987,Service Packs,0,11,0.000000
Renewable Energy Set II,2003,Technic,0,98,0.000000
Toggle Joints,1987,Technic,0,7,0.000000
Sidecar,1978,Traffic,0,16,0.000000
Black Plates - Large Package,2002,Service Packs,0,15,0.000000
Hot Rod,2004,Model Team,0,91,0.000000
Fork Lift Truck,1984,Construction,0,62,0.000000
Helicopter,2004,Basic Model,0,7,0.000000
World of Bricks {Blue Bucket},2003,Basic Set,0,28,0.000000
Flip Shot,2003,Hockey,0,29,0.000000
American Flag with Sticker For Stars (Legoland California),2002,Holiday,0,3,0.000000
Open Freight Wagon,2001,My Own Train,0,26,0.000000
European Flags,1966,Supplemental,0,8,0.000000
Medieval Knights,1993,Supplemental,0,29,0.000000
43 mm Tires and Hubs / 43 mm Tyres and Hubs,1987,Technic,0,2,0.000000
Slammer G-Force,2002,Drome Racers,0,41,0.000000
Christmas Tree Ornament,2005,Christmas,0,9,0.000000
Trees and Signs (1971 version with granulated trees and 4 bricks),1971,Supplemental,0,9,0.000000
Fire Plane,2012,Fire,0,137,0.000000
Snowman,2004,Christmas,0,11,0.000000
Fire Ladder Truck,2016,Fire,0,90,0.000000
Airshow (Red Tiger),1999,Airport,0,76,0.000000
Maersk Sealand Container Lorry,1995,Cargo,0,67,0.000000
Motorcycle Chase,2008,Last Crusade,0,52,0.000000
Storage Box - Blue,1972,Supplemental,0,1,0.000000
Power Bike,2000,RoboRiders,0,16,0.000000
Off-Road Racer,2013,Technic,0,42,0.000000
Monorail Accessory Track,1991,Supplemental,0,9,0.000000
Vega,2001,Life On Mars,0,4,0.000000
Helicopter,1999,Znap,0,16,0.000000
Power Functions IR Remote Control,2008,Power Functions,0,1,0.000000
Royal King,1995,Royal Knights,0,12,0.000000
Crane Truck,1988,Traffic,0,48,0.000000
Advent Calendar 1999 (Day 22) Dog with Red Hat,1999,Advent Sub-Set,0,7,0.000000
Connector Pegs,1994,Technic,0,4,0.000000
400-Piece Purple Bucket,1998,Basic Set,0,10,0.000000
Town Mini-Figures,1978,Supplemental,0,8,0.000000
Backhoe Grader,1989,Construction,0,96,0.000000
Curved Track,1966,4.5V,0,3,0.000000
Twinblade Adventures,2014,Creator,0,63,0.000000
Chaos Catapult,2016,Nexo Knights,0,51,0.000000
"Advent Calendar 2013, City (Day  7)",2013,City,0,4,0.000000
"Coin Bank, Castle with Drawbridge",2008,Gear,0,36,0.000000
Small Gear Wheels,1999,Technic,0,9,0.000000
"X-wing Fighter (Dagobah), Blue box",2003,Star Wars Episode 4/5/6,0,138,0.000000
Monorail Accessory Track,1988,Futuron,0,6,0.000000
Straight Runways,1990,Town,0,1,0.000000
MX-11 Astro Fighter,2007,Mars Mission,0,35,0.000000
Police Dog Unit,2011,Police,0,45,0.000000
Highway Speedster,2013,Traffic,0,68,0.000000
Dragster,1983,Expert Builder,0,53,0.000000
LEGO® City Advent Calendar 2015,2015,City,0,110,0.000000
Sand Castle - Ambassador Class 2010 (LLCA Ambassador Pass Exclusive),2010,Legoland Parks,0,51,0.000000
"Advent Calendar 2013, City (Day  3)",2013,City,0,3,0.000000
Vampos,2015,Series 4,0,24,0.000000
Kaxium V3,2009,Battle Vehicles,0,62,0.000000
Turg,2015,Series 5,0,30,0.000000
Goblin Spiders,2016,Nexo Knights,0,6,0.000000
Service Station,1979,Fabuland,0,20,0.000000
Complete Kitchen Set,1971,Homemaker,0,29,0.000000
Pneumatic Circuit,1999,Technic,0,4,0.000000
Lighthouse Point,2016,Creator,0,117,0.000000
Wheel Loader,2007,Construction,0,59,0.000000
Black Ridge Roof Tiles,2004,Bulk Bricks,0,5,0.000000
Rocket Boat,1999,Extreme Team,0,23,0.000000
Bilbo Baggins Magnet,2013,Gear,0,3,0.000000
Forklift & Truck,1978,Construction,0,25,0.000000
"Rocket Tops, Black",1982,Service Packs,0,3,0.000000
Defilak,2007,Matoran of Mahri Nui,0,23,0.000000
Leonidas' Jungle Dragster,2013,Legends of Chima,0,21,0.000000
Vahki Nuurakh,2004,Vahki,0,19,0.000000
Fire Cart,2000,Knights Kingdom I,0,18,0.000000
Minifig Pack,1983,Supplemental,0,13,0.000000
Advent Calendar 2008 City (Day 22) Hiker with Ice Pick,2008,City,0,6,0.000000
TECHNIC Universal Set,1982,Universal Building Set,0,49,0.000000
Harbor Set,2011,Town,0,125,0.000000
2 x 4 Red Plates,2000,Bulk Bricks,0,1,0.000000
Builder,2008,Construction,0,18,0.000000
Tread Trekker,1997,Off-Road,0,59,0.000000
Advent Calendar 2009 City (Day 20) RC Car Cones and Flag,2009,City,0,8,0.000000
Power Crusher,2002,Drome Racers,0,33,0.000000
1 x 4 x 3 Wall Element Clear,2001,Bulk Bricks,0,1,0.000000
Advent Calendar 2006 City (Day  8) Hospital Bed with IV Stand,2006,City,0,10,0.000000
Shell Station,1974,Gas Station,0,19,0.000000
"Advent Calendar 2013, Star Wars (Day 21) - Jango Fett's Slave I",2013,Star Wars,0,12,0.000000
Straight Track (Straight Rails),1993,Duplo,0,1,0.000000
Pony Grooming Kit,2016,Friends,0,20,0.000000
Gears & Differentials,1997,Technic,0,10,0.000000
Fire Catapult,2015,Legends of Chima,0,14,0.000000
King's Castle,1984,Lion Knights,0,84,0.000000
Small Locomotive,2001,My Own Train,0,28,0.000000
Urban Avenger vs. Raptor,2005,Dino Attack,0,42,0.000000
Advent Calendar 2010 City (Day 3) Skateboard with Ramp and Railing,2010,City,0,8,0.000000
Police Helicopter ,2014,Police,0,31,0.000000
Spyder Slayer,1998,Competition,0,73,0.000000
Passenger Wagon Blue (White Box),2002,My Own Train,0,35,0.000000
LEGO Friends Magazine Issue 'Friends on the beach' Polybag,2014,Friends,0,16,0.000000
TECHNIC Beams,2003,Technic,0,28,0.000000
"LEGO Store Grand Opening Exclusive Set, Easton Town Center, Columbus, OH",2009,LEGO Brand Store,0,14,0.000000
Monthly Mini Model Build June 2016 - Sea Plane,2016,Monthly Mini Model Build,0,14,0.000000
Small Lawn Tire & Hub (4 tires 4 hubs),2002,Service Packs,0,2,0.000000
Roadster,1979,Fabuland,0,9,0.000000
"MBA Level One - Kit 2, Microbuild Designer",2011,Master Building Academy,0,47,0.000000
Car & Camper,1985,Fabuland,0,17,0.000000
"Gates and Fence, White (The Building Toy)",1967,Supplemental,0,3,0.000000
"Gear Wheels Etc. / Gear Wheels, Worm Gears, Universal Joints and Gear Racks",1993,Technic,0,9,0.000000
"Propellers, Wheels and Rotor Unit",1977,Service Packs,0,7,0.000000
2 x 2 Window White,2000,Bulk Bricks,0,1,0.000000
Ocean Explorer,2016,Creator,0,70,0.000000
Razcal's Double-Crosser,2013,Legends of Chima,0,23,0.000000
Hulk,2012,Avengers,0,4,0.000000
Record Breaker,2015,Race,0,44,0.000000
9-Volt 1 x 2 Lamp Brick (Pack of 2),2002,Service Packs,0,1,0.000000
Count Dooku's Solar Sailer,2009,Star Wars Clone Wars,0,105,0.000000
Dinosaur,1994,Basic Model,0,4,0.000000
Maximum Wheels,2003,Designer Sets,0,94,0.000000
Ferrari F1 Truck 1:55,2008,Ferrari,0,59,0.000000
Solo Trainer,1990,Airport,0,45,0.000000
Lego Brickmaster Ninjago (Hardcover),2011,Books,0,60,0.000000
LEGO Minifigures Series 17 - All Parts,2017,Series 17 Minifigures,0,95,0.000000
1 x 6 Red Plates,2000,Bulk Bricks,0,1,0.000000
Robo Pod (Toy Fair Nuernberg Promotion),2004,X-Pod,0,23,0.000000
Red Cross Helicopter,1978,Hospital,0,18,0.000000
Mountain Sleigh (Kabaya Promotional),2003,Orient Expedition,0,20,0.000000
Building Plates (24 x 24),1992,Service Packs,0,1,0.000000
Car,2000,Basic,0,9,0.000000
"T-Junction, Circle Plates",1990,Town,0,2,0.000000
Digger Bucket,1977,Service Packs,0,3,0.000000
"Advent Calendar 2012, Star Wars (Day 5) - Trade Federation MTT",2012,Star Wars,0,6,0.000000
Snowmobile,1996,Basic Model,0,7,0.000000
Mobile Crane (Train Base),1972,4.5V,0,16,0.000000
Mobile Lab,1980,Classic Space,0,46,0.000000
Advent Calendar 2005 Clikits  (Day 3) Necklace,2005,Clikits,0,4,0.000000
Americas Bus,2000,Soccer,0,48,0.000000
Bad Cop's Pursuit,2014,The LEGO Movie,0,111,0.000000
"60024 Advent Calendar 2013, City (Day 16)",2013,City,0,5,0.000000
Republic Attack Shuttle - Mini,2010,Star Wars Clone Wars,0,25,0.000000
Advent Calendar 2009 Pirates (Day  7) - Pirate Female,2009,Pirates,0,5,0.000000
Advent Calendar 2008 City (Day 20) Pallet Jack,2008,City,0,10,0.000000
Micro Scale Bag End - San Diego Comic-Con 2013 Exclusive,2013,An Unexpected Journey,0,40,0.000000
4.5V Motor Set,1968,4.5V,0,9,0.000000
Advent Calendar 2004 Clikits (Day  6) Bangle,2004,Clikits,0,2,0.000000
Monthly Mini Model Build June 2015 - Parrot,2015,Monthly Mini Model Build,0,27,0.000000
Ninja Blaster,1999,Ninja,0,17,0.000000
Magnet Set Darth Maul 2009,2009,Gear,0,20,0.000000
Monthly Mini Model Build February 2017 - Raccoon,2017,Monthly Mini Model Build,0,21,0.000000
Actress,2001,Studios,0,4,0.000000
9V Train Switching Track Collection,2006,9V,0,5,0.000000
Advent Calendar 2007 Belville (Day  1) Fairy with Wand,2007,Belville,0,2,0.000000
Formula-I Racer,1985,Race,0,20,0.000000
Micro Chaos Chariot,2016,Nexo Knights,0,16,0.000000
Avengers Hydra Showdown,2015,Avengers,0,100,0.000000
Anchor-Jet,2016,Ninjago,0,25,0.000000
Golden Die [TRU Exclusive],2009,Game,0,7,0.000000
Monthly Mini Model Build January 2016 - Polar Bear,2016,Monthly Mini Model Build,0,18,0.000000
TECHNIC Pneumatic Piston Cylinder 48mm,1985,Technic,0,1,0.000000
Mars Science Laboratory Curiosity Rover,2014,LEGO Ideas and CUUSOO,0,85,0.000000
"Advent Calendar 2013, Friends (Day 16) - Skates with Flower in Snow",2013,Friends,0,7,0.000000
Harbor,2011,Harbor,0,166,0.000000
Advent Calendar 2011 Star Wars (Day 23) - Christmas Tree,2011,Star Wars,0,7,0.000000
"Differential Gears / Universal Joint, Differential Housing and Wheels",1994,Technic,0,4,0.000000
Red Beard Runner,2001,Pirates I,0,160,0.000000
Fast Flyers,2007,Airport,0,91,0.000000
Moon Landing,1976,Space,0,42,0.000000
"Advent Calendar 2012, City (Day 14) Box with Burning Logs",2012,Advent Sub-Set,0,3,0.000000
Universal Building Set,1983,Basic Set,0,77,0.000000
Monthly Mini Model October 2014 - Monster,2014,Monthly Mini Model Build,0,14,0.000000
Victory Cup Racers,1993,Race,0,120,0.000000
Power Functions Extension Wire,2008,Power Functions,0,1,0.000000
The Mini Batmobile,2017,Batman,0,29,0.000000
Advent Calendar 2010 Kingdoms (Day  4) - Dragon Knight with Flail,2010,Castle,0,5,0.000000
Easter Bunny with Eggs,2011,Easter,0,32,0.000000
Moon Buggy,1981,Classic Space,0,18,0.000000
Christmas Tree Stand,2013,Creator,0,45,0.000000
Road Repair Crew,1975,Construction,0,27,0.000000
"Advent Calendar 2014, Friends (Day 8) - Chairs",2014,Friends,0,4,0.000000
Kabaya Promotional Set: Yellow/Green (Swamp Craft) RoboRider,2000,RoboRiders,0,11,0.000000
Mobile Crane,1979,Expert Builder,0,61,0.000000
Sweepz,2016,Series 9,0,30,0.000000
Airliner,1994,Airport,0,14,0.000000
Advent Calendar 1999 (Day 13) Hovercraft,1999,Advent Sub-Set,0,7,0.000000
Yellow Truck (Box version) - ANA Promotion,2003,Designer Sets,0,16,0.000000
Monthly Mini Model Build April 2010 - Chick,2010,Monthly Mini Model Build,0,12,0.000000
"Lots of Extra Basic Bricks, 3+",1996,Supplemental,0,5,0.000000
Advent Calendar 2010 Kingdoms (Day  9) - Chest with Jewels,2010,Castle,0,3,0.000000
Jedi Starfighter - Mini - Korean Duracell promo package with 8 AA batteries,2005,Mini,0,17,0.000000
Educational LEGO Building Set,1976,Building Set with People,0,29,0.000000
4 x 4 Crawler,2012,Off-Road,0,109,0.000000
Bike Burner,2000,Speed Slammers,0,26,0.000000
Small Spruce Trees,2000,Bulk Bricks,0,1,0.000000
Basic Building Set,1999,Classic Basic,0,88,0.000000
Wave Rebel,1993,Harbor,0,41,0.000000
"Plates, Small",1999,Service Packs,0,14,0.000000
Fiery Legend,2009,Creature,0,97,0.000000
"Santa, Tree, and Present",2003,Creator,0,13,0.000000
2 x 10 Bricks,1958,Supplemental,0,1,0.000000
Advent Calendar 2003 Creator (Day 15) Truck,2003,Creator,0,9,0.000000
4.5V Battery Case,1966,4.5V,0,1,0.000000
Lord Sam Sinister Chupa Chups Promotional,2003,Orient Expedition,0,5,0.000000
Space Scooter,1979,Classic Space,0,17,0.000000
Bus Stop,1987,Fabuland,0,5,0.000000
2 x 2 Plates - Blue (cardboard box version),1962,Supplemental,0,1,0.000000
Bush,2001,Bulk Bricks,0,1,0.000000
Create and Imagine,2003,Basic Set,0,25,0.000000
Imperial Star Destroyer - Mini,2004,Mini,0,36,0.000000
Lance,2016,Nexo Knights,0,13,0.000000
Electric Train Motor,1991,Train,0,2,0.000000
"Advent Calendar 2013, Friends (Day 13) - Sled",2013,Friends,0,6,0.000000
"Advent Calendar 2012, Star Wars (Day 8) - Vulture Droid",2012,Star Wars,0,6,0.000000
8 Straight Electric Rails Gray 12v,1980,12V,0,1,0.000000
Surfer - Complete Set,2010,Series 2 Minifigures,0,6,0.000000
4x4 with Powerboat,2015,Harbor,0,104,0.000000
Sheriff's Lock-Up,1996,Cowboys,0,82,0.000000
Wild Collection,2003,Designer Sets,0,87,0.000000
Basic Set,1987,Basic,0,21,0.000000
Monthly Mini Model Build September 2014 - Aircraft,2014,Monthly Mini Model Build,0,28,0.000000
Coast Guard 4 x 4,2013,Coast Guard,0,66,0.000000
Space Command Center (Craterplate version),1979,Classic Space,0,58,0.000000
Sea Plane,2015,Basic Model,0,27,0.000000
Car,1999,Race,0,14,0.000000
Swivel Magnet Pack (Pack of 10 each),2007,Service Packs,0,2,0.000000
Plates Black,1998,Service Packs,0,14,0.000000
4WD X-Track,2000,Off-Road,0,81,0.000000
Motor Frame,1977,Service Packs,0,1,0.000000
4.5V Motor with Wheels (Small Version),1966,4.5V,0,10,0.000000
Supplementary Set,1977,Expert Builder,0,27,0.000000
Airplane,2003,Airport,0,13,0.000000
Tipper Lorry,1972,Construction,0,15,0.000000
"23 sloping bricks, including roof peak bricks, Blue",1969,Supplemental,0,4,0.000000
Slam Dunk Trainer,2003,Basketball,0,16,0.000000
Vintage Minifigure Collection Vol. 1,2008,Collectible Minifigures,0,16,0.000000
Kopaka - With mini CD-ROM,2001,Toa,0,23,0.000000
Grapes - Hong Kong Lego Show Promotional,2007,Food & Drink,0,4,0.000000
Advent Calendar 2000 (Day 14) Rhinocerous,2000,Advent Sub-Set,0,7,0.000000
Santa Fe Cars - Set I (mail or baggage car),2002,My Own Creation,0,56,0.000000
Slumbo,2014,Series 2,0,30,0.000000
Advent Calendar 2003 Creator (Day 22) Race Car,2003,Creator,0,6,0.000000
Battle Droid on STAP,2009,Star Wars Clone Wars,0,18,0.000000
Vintage Car,1970,Factory,0,12,0.000000
Differential,1981,Technic,0,2,0.000000
"Wagon Plate, Red (6 x 28)",1996,Train,0,1,0.000000
Cosmic Wing,1999,Space Port,0,15,0.000000
MUJI Circus Set,2010,Other,0,10,0.000000
Blue Power,2002,Drome Racers,0,14,0.000000
